"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word"
"Britney Spears","From The Bottom Of My Broken Heart",20,"From The Bottom Of My Broken Heart","Britney","Spears"
"Britney Spears","I'm A Slave 4 U",14,"I'm A Slave 4 U","Britney","Spears"
"Britney Spears","Lucky",11,"Lucky","Britney","Spears"
"Britney Spears","Oops!...I Did It Again",20,"Oops!...I Did It Again","Britney","Spears"
"Britney Spears","Outrageous",4,"Outrageous","Britney","Spears"
"Britney Spears","Overprotected",5,"Overprotected","Britney","Spears"
"Britney Spears","Sometimes",20,"Sometimes","Britney","Spears"
"Britney Spears","Stronger",15,"Stronger","Britney","Spears"
"Britney Spears","Toxic",20,"Toxic","Britney","Spears"
"Britney Spears Featuring Madonna","Me Against The Music",13,"Me Against The Music","Britney","Madonna"
"Brooks & Dunn","Ain't Nothing 'Bout You",20,"Ain't Nothing 'Bout You","Brooks","Dunn"
"Brooks & Dunn","Every River",5,"Every River","Brooks","Dunn"
"Brooks & Dunn","Husbands And Wives",5,"Husbands And Wives","Brooks","Dunn"
"Brooks & Dunn","I Can't Get Over You",11,"I Can't Get Over You","Brooks","Dunn"
"Brooks & Dunn","Missing You",3,"Missing You","Brooks","Dunn"
"Brooks & Dunn","My Heart Is Lost To You",13,"My Heart Is Lost To You","Brooks","Dunn"
"Brooks & Dunn","Only In America",20,"Only In America","Brooks","Dunn"
"Brooks & Dunn","Red Dirt Road",20,"Red Dirt Road","Brooks","Dunn"
"Brooks & Dunn","That's What It's All About",18,"That's What It's All About","Brooks","Dunn"
"Brooks & Dunn","That's What She Gets For Loving Me",14,"That's What She Gets For Loving Me","Brooks","Dunn"
"Brooks & Dunn","The Long Goodbye",20,"The Long Goodbye","Brooks","Dunn"
"Brooks & Dunn","You'll Always Be Loved By Me",19,"You'll Always Be Loved By Me","Brooks","Dunn"
"Brooks & Dunn","You Can't Take The Honky Tonk Out Of The Girl",20,"You Can't Take The Honky Tonk Out Of The Girl","Brooks","Dunn"
"Bruce Springsteen","The Rising",11,"The Rising","Bruce","Springsteen"
"BT","Simply Being Loved (Somnambulist)",3,"Simply Being Loved ","BT","BT"
"Bubba Sparxxx","Ugly",20,"Ugly","Bubba","Sparxxx"
"Buddy Jewell","Help Pour Out The Rain (Lacey's Song)",20,"Help Pour Out The Rain ","Buddy","Jewell"
"Buddy Jewell","Sweet Southern Comfort",20,"Sweet Southern Comfort","Buddy","Jewell"
"Bush","The Chemicals Between Us",20,"The Chemicals Between Us","Bush","Bush"
"Busta Rhymes","Break Ya Neck",20,"Break Ya Neck","Busta","Rhymes"
"Busta Rhymes","Light Your A** On Fire",10,"Light Your A** On Fire","Busta","Rhymes"
"Busta Rhymes & Mariah Carey Featuring The Flipmode Squad","I Know What You Want",24,"I Know What You Want","Busta","Squad"
"Busta Rhymes Featuring Janet","What's It Gonna Be?!",20,"What's It Gonna Be?!","Busta","Janet"
"Busta Rhymes Featuring P. Diddy & Pharrell","Pass The Courvoisier Part II",20,"Pass The Courvoisier Part II","Busta","Pharrell"
"Busta Rhymes Featuring Spliff Star","Make It Clap",20,"Make It Clap","Busta","Star"
"Cake","Never There",13,"Never There","Cake","Cake"
"Cam'ron","Let Me Know",2,"Let Me Know","Cam","ron"
"Cam'ron","What Means The World To You",10,"What Means The World To You","Cam","ron"
"Cam'Ron Featuring Juelz Santana","Oh Boy",21,"Oh Boy","Cam","Santana"
"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya","Hey Ma",21,"Hey Ma","Cam","Toya"
"Carl Thomas","Emotional",20,"Emotional","Carl","Thomas"
"Carl Thomas","I Wish",20,"I Wish","Carl","Thomas"
"Carl Thomas","Summer Rain",11,"Summer Rain","Carl","Thomas"
"Carolyn Dawn Johnson","Georgia",5,"Georgia","Carolyn","Johnson"
"Carolyn Dawn Johnson","I Don't Want You To Go",10,"I Don't Want You To Go","Carolyn","Johnson"
"Carolyn Dawn Johnson","Simple Life",5,"Simple Life","Carolyn","Johnson"
"Carolyn Dawn Johnson","So Complicated",17,"So Complicated","Carolyn","Johnson"
"Case","Happily Ever After",20,"Happily Ever After","Case","Case"
"Case","Missing You",22,"Missing You","Case","Case"
"Case & Joe","Faded Pictures",19,"Faded Pictures","Case","Joe"
"Cash Money Millionaires","Project Chick",13,"Project Chick","Cash","Millionaires"
"Cassidy Featuring Mashonda","Get No Better",12,"Get No Better","Cassidy","Mashonda"
"Cassidy Featuring R. Kelly","Hotel",24,"Hotel","Cassidy","Kelly"
"Cee-Lo","Closet Freak",3,"Closet Freak","Cee","Lo"
"Celine Dion","A New Day Has Come",20,"A New Day Has Come","Celine","Dion"
"Celine Dion","I Drove All Night",13,"I Drove All Night","Celine","Dion"
"Celine Dion","That's The Way It Is",28,"That's The Way It Is","Celine","Dion"
"Chad Brock","Lightning Does The Work",12,"Lightning Does The Work","Chad","Brock"
"Chad Brock","Ordinary Life",17,"Ordinary Life","Chad","Brock"
"Chad Brock","Yes!",20,"Yes!","Chad","Brock"
"Chad Brock With Hank Williams Jr. & George Jones","A Country Boy Can Survive (Y2K Version)",3,"A Country Boy Can Survive ","Chad","Jones"
"Chad Kroeger Featuring Josey Scott","Hero",22,"Hero","Chad","Scott"
"Changing Faces","That Other Woman",11,"That Other Woman","Changing","Faces"
"Chante Moore","Chante's Got A Man",18,"Chante's Got A Man","Chante","Moore"
"Chante Moore","Straight Up",9,"Straight Up","Chante","Moore"
"Chely Wright","It Was",10,"It Was","Chely","Wright"
